Type,Host,Answer,TTL,Priority
A,getfocushealth.com,216.239.32.21,300,
A,getfocushealth.com,216.239.34.21,300,
A,getfocushealth.com,216.239.36.21,300,
A,getfocushealth.com,216.239.38.21,300,
AAAA,getfocushealth.com,2001:4860:4802:32::15,300,
AAAA,getfocushealth.com,2001:4860:4802:34::15,300,
AAAA,getfocushealth.com,2001:4860:4802:36::15,300,
AAAA,getfocushealth.com,2001:4860:4802:38::15,300,
TXT,getfocushealth.com,google-site-verification=kVTMKF1yXhHI2kXP5GGaNjc7felwVeI9NxWVsGGU8bQ,300,
CNAME,www.getfocushealth.com,ghs.googlehosted.com,300,
